current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
pour liquidwashingup,pick glass,"Based on the current action, I will fetch a clean glass.",,Fetch glass to assist with pouring liquid.,,I'll wash the glass.,
clean cooker,pick-up grill,"Based on current observation, I will fetch necessary cleaning supplies for my chef's next action.",,Fetch the grill to assist the chef.,,fetch grill,
chop leek,rinse leek,"Based on the current action of chopping leek, the next best help I can provide is to fetch more leeks if needed.",,Fetch the leek to rinse.,,I'll rinse the leek.,
pick-up meat,put-down panfrying,"Based on the chef's next action being ""put-down panfrying,"" I would fetch the pan for them.",,Fetch the meat from the refrigerator.,,"### action: wash

### action list: 
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
put-on v60,empty bowlwashingup,"Based on the current action of my chef, I will fetch a clean v60 filter.",,Fetch ingredients for chef's next action.,,I'll wash the v60.,
put-in coriander,pick-up lidjar,"Based on the chef's current action of putting in coriander, the best help would be to fetch more ingredients or supplies.",,Fetch coriander for the chef.,,I'll wash the coriander.,
inspect saucepan,wash saucepan,"If chef needs to wash saucepan, I will fetch a clean dishcloth and help with drying it.",,Fetch clean saucepan for chef.,,I will wash the saucepan.,
drain potato,stir potato,"Based on the current action, I will fetch the required utensils for stirring potatoes next.",,"Fetch the potato slices.

This action assumes that the chef has already drained the potatoes and is ready to proceed with the next step, which could involve preparing the potatoes for further cooking or serving. Fetching the potato slices would be the next logical step if the chef's current action is to slice the potatoes",,I'll wash the potatoes.,
put glass,put bag,"Based on the chef's current action of putting a glass, I would fetch the next item needed.",,Fetch the ingredients for the chef.,,I'll put the glass in the sink.,
rinse hand,cut tomatocherry,"Based on the chef's current action and the next action of ""cut tomatoes,"" I would fetch the tomatoes first.",,Fetch fresh tomatoes for cutting.,,fetch tomato,
throw paperbaking,pick-up spoonwooden,"Based on the chef's current action of throwing paper baking, I would fetch the next baking ingredients.",,Fetch the spoon.,,I'll wash the spoonwooden.,
rinse aubergine,put-down aubergine,"Based on the current action, I would suggest cutting the aubergine next.",,"Fetch a cutting board and knife.

Explanation: After rinsing the aubergine, the next logical step is to prepare it for cooking, which involves cutting it. However, since the instruction specifies not to cut, the best alternative is to fetch the necessary tools (a cutting board and knife) to assist the chef in",,I will wash the aubergine.,
pick-up tomato,throw tomato,"Based on the chef's next action being ""throw tomato,"" I would suggest preparing it by cutting or slicing the tomato to ensure it is ready for use.",,Fetch the tomato.,,I will wash the tomato.,
close freezer,pick-up packagefishfinger,"Based on the chef's current action of closing the freezer, I would fetch the package of fish fingers next.",,Fetch the packagefishfinger.,,fetch package,
stir sauce,close bagpasta,"Based on the current action of stirring sauce, I will mix ingredients next.",,Fetch the pasta to assist the chef.,,I will wash the bagpasta.,
drop onion,put-down onion,"Based on the chef's current action of dropping an onion, the best help I can provide next is to fetch a fresh one.",,Fetch a cutting board and knife.,,I will wash the onion.,
unfreeze corn,remove leaf,"Based on the current action, I would fetch the colander next.",,Fetch the frozen corn.,,I'll wash the corn.,
pour-into watercold,put-down filterwater,"Based on the chef's current action of pouring into cold water, the best assistance would be to fetch a fresh bottle of water.",,Fetch filterwater.,,I will wash the filter.,
throw seal,pour-from milk,"Based on the chef's current action of throwing a seal, the best help I can provide next is to fetch the required milk.",,Fetch the seal for the chef.,,I'll wash the seal.,
clean makercoffee,take potcoffee,"Based on the current action, I will fetch the milk or cream for the next coffee-making step.",,Fetch pot coffee.,,I'll wash the maker.,
turn-on oven,pour-into water,"Based on the chef's current action and the potential next action of pouring, I would fetch the water.",,Fetch the ingredients for the recipe.,,"### action: wash

### next action: pour",
wash desk,wash dish,"Based on the current action of my chef, I will fetch dishes to be washed next.",,Fetch ingredients for the next cooking step.,,fetch dish,
put-into cutlery,move jug,"Based on the chef's current action of putting items into cutlery, I would fetch the necessary cutlery.",,Fetch the knife for the chef.,,I'll wash the jug.,
cut cheese,take bottleoil,"Based on the current action, I would fetch a cutting board for the next task.",,Fetch the cheese slicer.,,I'll wash the bottle of oil.,
turn-up heat,throw chilli,"Based on the current action of turning up the heat, I would fetch the desired ingredients for the next dish.",,Fetch additional ingredients to assist the chef.,,"### action: wash

### next action: stir",
take kettle,rinse kettle,"If chef requests to rinse the kettle, I will fetch a sink for rinsing. (10 words)",,Fetch clean kettle.,,I'll wash the kettle.,
put-down package,move bag,"Based on the current action, I will fetch the next required item for my chef.",,Fetch the ingredients needed for the next step.,,I will wash the package.,
pop-out tablet,screw cap,"Based on the current action and the potential next action, I would fetch the screw cap.",,Fetch the chef's tablet.,,I'll wash the screw cap.,
feel temperaturemilk,pick-up thermometer,Fetch the thermometer for your chef.,,Fetch thermometer to check milk temperature.,,fetch thermometer,
wash hand,place-in hand,"Based on the chef's current action of washing hands, I will dry them using a clean towel.",,Fetch ingredients for the next step.,,Place utensils in hand.,
pick-up trayoven,remove packagingpizza,"Based on the chef's current action of picking up the tray oven, I would fetch the pizza to be ready for removal of packaging.",,Fetch the tray.,,fetch pizza,
take butter,take cheese,"Based on the chef's current action of taking butter, I would fetch the cheese.",,Fetch the butter for the chef.,,I'll wash the butter.,
pick-up jug,put-into leaftea,"Based on the chef's current action of picking up the jug, I would fetch the leaf tea if needed.",,Fetch the ingredients for the chef.,,I'll put the jug into the leaftea.,
put-down glass,pick-up soap,"Based on the current action, I will fetch the soap.",,Fetch the soap for the chef.,,I'll wash the glass.,
close oregano,put-down oregano,"Based on the chef's current action of closing the oregano container, I would fetch the necessary cooking utensil next.",,Fetch fresh oregano.,,I will wash the oregano.,
sweep floorkitchen,move horseclothes,"Based on the current action of sweeping the kitchen floor, the best help I can provide next is to fetch horseclothes.",,Fetch the horseclothes for the chef.,,I'm sweeping the floor.,
wash cucumber,slice cucumber,"Based on the chef's next action being ""slice cucumber,"" I would prepare the cucumber by drying it after washing.",,Fetch a cutting board and knife.,,I'll slice the cucumber.,
put-in box,wipe surface,"Based on the chef's next action being ""wipe surface,"" I would fetch a clean cloth to help prepare for that task.",,Fetch the ingredients for the next step.,,I'll wash the surface.,
hang shirtt,adjust collarshirt,"Based on the current action and the potential next action, I would fetch the collar adjusters to help stabilize the shirt for my chef.",,Fetch the shirt for the chef.,,I'll adjust the collarshirt.,
move boxcereal,pick-up milk,"Based on the current action of moving the box of cereal, I would fetch the milk.",,Fetch the box of cereal.,,fetch milk,
place-into milk,take-out tortilla,"Based on the current action and the next expected action, I would fetch a tortilla.",,Fetch the milk.,,I'll wash the tortilla.,
open package,recycle package,"Based on current observation, I will fetch the next required package.",,Fetch the ingredients needed for the next step.,,I will wash the package.,
put-on bread,pick-up cafetiere,"Based on the current action, I would fetch the cafetiere next.",,Fetch the cafetiere to assist the chef.,,I'll wash the cafetiere.,
wear glove,put liquid,"Based on the chef's current action of wearing gloves, I will fetch the liquid for the next step.",,Fetch gloves for the chef.,,I'll wash the glove.,
pick-up kettle,catch bottlewater,"Based on the chef's current action and the potential next action, I would fetch the bottle water.",,Fetch kettle for chef.,,fetch bottlewater,
remove covertin,throw covertin,"Based on the chef's current action of removing a cover, I would fetch the next ingredient or tool needed.",,Fetch the covertin.,,"### action: wash
### action: pour
### action: bring",
pick-up peelercarrot,put-down teaspoon,"Based on the chef's next action being ""put-down teaspoon,"" I would suggest:

Prepare carrot for peeling by washing it.",,Fetch the peeler.,,I will wash the peeler.,
wipe hand,rinse glass,"Based on the chef's current action of wiping hands, the best help would be to fetch a clean towel.",,Fetch clean glass for chef.,,I'll wash the glass.,
smell starter,put-in milk,"Based on the chef's current action of smelling the starter, I would fetch the next ingredient: milk.",,Fetch put-in milk.,,I'll wash the starter.,
close bread,cut cheese,"Based on the chef's current action of closing bread, the best help would be to fetch the necessary cutting tools.",,Fetch the bread.,,I will wash the bread.,
cut carrot,take carrot,"Based on the current action, I would fetch more carrots next.",,Fetch the carrot.,,I will wash the carrot.,
look-at recipe,pick-up chopstick,"Based on current observation, I will fetch the chopsticks.",,Fetch the recipe for the chef's next action.,,I'm washing the chopsticks.,
browse bookrecipe,put-down glass,"Based on the chef's current action, I would fetch the required recipe book.",,Fetch the bookrecipe for the chef.,,I will put-down the glass.,
pour oilolive,close lidoliveoil,"If chef requests, I'll fetch a clean lid. (Assuming the chef will close the lid of the olive oil container next.)",,Fetch the lid to close the olive oil.,,"### action: close lidoliveoil

### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
put-in chilli,take-out tomatochopped,"Based on the current action, I would fetch the tomatoes for the chef to chop next.",,Fetch tomatochopped.,,I'll wash the tomatoes.,
put-in crumb,wash side,"If the chef's next action is to wash, I will fetch the dishes.",,Fetch the crumb.,,I will wash the crumb.,
move bread,put-down whisk,"Based on the chef's current action of moving bread, I would stabilize it to prevent it from being damaged or crushed.",,Fetch the put-down whisk.,,put-down whisk,
pick-up packetyeast,pick-up stickcocktail,"Based on the chef's current action of picking up packetyeast, I would fetch the stick cocktail.",,Fetch the packetyeast for the chef.,,I'm washing the packetyeast.,
put-down colander,put lettuce,"Based on the chef's current action of putting down the colander, I would fetch the lettuce next.",,Fetch the lettuce.,,I'll wash the colander.,
take egg,break egg,"If chef is taking an egg, I'll fetch a bowl for breaking it.",,Fetch the egg bowl.,,I'll wash the egg.,
put-into glass,take saucepan,"Based on current observation, I will fetch the saucepan next.",,Fetch the saucepan.,,I'll wash the glass.,
pour-out water,pick-up brushdish,"Based on the current action, I would fetch a clean bowl next.",,Fetch the brush dish for the chef.,,fetch water,
pick-up cutlery,slice cheese,"Based on the chef's current action of picking up cutlery, I will fetch the cheese for slicing next.",,Fetch the cheese for slicing.,,fetch cheese,
put-down ladle,throw overleft,"Based on the chef's current action of put-down ladle, I would fetch the desired ingredient or tool next.",,Fetch the ladle for the chef.,,I'll wash the ladle.,
pour bowlwashingup,put-down bowlwashingup,"Based on the current action, I would fetch a clean dripping dish rack next.",,Fetch additional ingredients for the chef.,,I will put-down bowlwashingup.,
put-on binrecycling,pick-up rubbish,"Based on the current action, I will fetch the recycling bin. (Fetch the recycling bin)",,Fetch the rubbish for the chef.,,fetch the bin.,
rinse bowlfoodprocessor,put-in processorfood,"Based on the chef's current action, I will fetch the ingredients for the next recipe.",,Fetch the food processor.,,put-in food,
get cheese,place-on loafbread,"Based on the chef's current action of getting cheese, I would fetch the loaf bread to prepare for placing the cheese on it.",,Fetch the cheese for the chef.,,Place cheese on loafbread.,
fill-up jug,pick-up piecesaladspinner,"Based on the current action, I would fetch a clean jug or additional water.",,Pour ingredients into the jug.,,fetch salad,
take napkin,pour water,"Based on the chef's current action of taking a napkin, I would fetch a glass or bowl for the upcoming pouring action.",,Fetch a glass for the chef to pour water.,,fetch water.,
put-on spoonmeasuring,put-in teaspoon,"Based on the chef's current action, I will fetch the required teaspoon.",,Fetch the ingredients for the chef.,,I'll wash the spoonmeasuring.,
wash aubergine,flip aubergine,"Based on the current action, I will dry the aubergine next.",,Fetch the cutting board and knife.,,I will wash the aubergine.,
put-on pieceonion,pick-up pieceonion,"Based on the chef's current action, I will prepare the next ingredient by fetching a fresh onion.",,Fetch the onion.,,I'll wash the pieceonion.,
fold bag,throw-into centretomato,"Based on the chef's current action of folding a bag, the best help would be to fetch the next ingredient.",,Fetch the tomato for the chef.,,I will wash the bag.,
stir meat,adjust-on temperature,I'll mix the ingredients next. (Assuming the chef needs help with that after stirring meat.),,Fetch additional ingredients for the chef.,,### action: wash meat,
put-down cloth,pick-up bread,"Based on the current action of putting down the cloth, the next best action for me would be to fetch the bread.",,Fetch the bread for the chef.,,I'll wash the bread.,
stir-in chicken,cut chicken,"If chicken needs cutting next, I'll fetch a sharp knife.",,Fetch the chicken to assist the chef.,,I will wash the chicken.,
twist-on cap,put-down meat,"Based on the chef's current action of twisting on a cap, the best help would be to fetch the next ingredient.",,Fetch the put-down meat.,,"### action: put-down meat

### next action: chop",
put boardchopping,put-on strainer,"Based on the chef's current action of board chopping, the best help would be to fetch the necessary ingredients or tools.",,Fetch the put-on strainer for the chef.,,I'll wash the boardchopping.,
pick-up mixturetuna,shape-into patty,"Based on the chef's next action being ""shape-into patty,"" I would suggest mixing the tuna mixture to ensure it's well combined before shaping it into patties.",,Fetch the tuna mixture.,,"### action list:
wash
dry
cut
slice
mix
pour
fetch
clean
stabilize
bring",
get potcoffee,tap water,"Based on the current action, I would fetch a clean mug for my chef to use for the pot of coffee.",,Fetch tap water for the chef.,,I'll wash the pot.,
put ladle,turn-off heat,"Based on the current action of putting a ladle, I would fetch the next ingredient for my chef.",,Fetch the ingredients needed for the next step.,,I will wash the ladle.,
put-in garlic,put restgarlic,"Based on the current action, I would fetch the rest of the garlic.",,Fetch garlic for the chef.,,fetch restgarlic,
take garbage,put-in garbage,"Based on the current action of taking out the garbage, the best help I can provide next is to fetch new garbage bags or clean the area where the garbage can is located. (Fetch or Clean)",,Fetch fresh ingredients for the chef.,,I'll put the garbage in the trash.,
pick-up clothdish,stir pasta,"Based on the chef's current action of picking up a dish, the best help I can provide next is to:

1. Fetch a clean dish for the chef.
2. Bring water for pasta cooking if stir pasta is next.
3. Clean and dry the countertop.
4. Stabilize the mixing bowl if needed.",,Fetch the pasta.,,fetch pasta,
stir mix,fold bag,"Based on current stir-mix action, I will mix next.",,Fetch ingredients for the next step.,,"### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
put-down spatula,wipe-with boardchopping,"Based on the chef's current action and the anticipated next action, I will wash the spatula.",,Fetch the spatula for the chef.,,I'm washing the spatula.,
wash peeler,wash ladle,"Based on the current action of washing a peeler, the next best action for me would be to fetch the ladle.",,Fetch the peeler for the chef.,,I'll wash the peeler.,
take cookie,take colander,"Based on the chef's current action of taking a cookie, the best help I can provide next is to fetch the milk or a glass.",,Fetch the colander.,,I'll wash the colander.,
wipe-off salad,throw bitsalad,"Based on the chef's current action of wiping off a salad, the best help would be to fetch fresh vegetables for the next salad preparation.",,Fetch fresh salad ingredients.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
put-down piecelemonsqueezer,reconstruct squeezerlemon,"Based on the current action and the potential next action, I will fetch a lemon for my chef.",,Fetch a new piecelemonsqueezer.,,I'll wash the squeezer.,
put-down flour,look-for flour,"Based on the chef's current action of putting down flour, the best next action for me would be to fetch more flour.",,Fetch flour for the chef.,,fetch flour,
put-in mugglass,pick-up gratercheese,"Based on the current action, I would fetch the grater and bring it to the chef.",,Fetch the grater cheese.,,fetch mugglass,
pick-up tray,measure spice,"Based on the current action of my chef, I will fetch the required spice tray next.",,Fetch the spice measurement tool.,,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
take glove,end_of_video,"Based on the chef's current action of taking a glove, I would fetch the necessary ingredients for the next recipe.",,Fetch gloves for chef.,,I'll wash the glove.,
take saucepan,stack saucepan,"Based on the chef's current action of taking a saucepan, I would suggest the following:

1. Wash the saucepan (if it's dirty)
2. Dry the saucepan (if it's wet)
3. Stabilize the saucepan on the stove

Therefore, I would suggest ""Stabilize the",,Fetch the ingredients for the saucepan.,,I will stack the saucepan.,
lay-down dough,rotate dough,"Based on the chef's current action of laying down dough, the best assistance would be to:

Prepare the rolling pin and surface.",,"Fetch additional ingredients for the dough.

This action is chosen because, after laying down the dough, the chef might need more ingredients to complete the dough preparation. Fetching additional ingredients ensures that the chef has everything they need to proceed without interruption, thus providing the best help.",,"### action: rotate dough
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
lay toweltea,put-down chopstick,"Based on the chef's current action of laying out a tea towel, I would fetch the next item they may need.",,Fetch the put-down chopstick.,,I'll put down the chopstick.,
close drawerdishwasher,put-in traybaking,"Based on the chef's current action, I will fetch a clean tray for the next task, ""fetch a clean tray.""",,Fetch the traybaking supplies.,,I'll wash the dishes.,
push drawerdishwasher,put-in scissors,"Based on the chef's current action and the next action of putting in scissors, I would fetch the scissors for the chef.",,Fetch scissors to assist chef.,,I'll wash the dishes.,
put-down halflemon,pick-up juicer,"Based on the current action and the potential next action, I would fetch the juicer.",,Fetch the halflemon.,,I'll wash the juicer.,
push drawerdishwasher,put-down spatula,"Based on the chef's current action, I will prepare the next dish by fetching necessary ingredients.",,Fetch the put-down spatula.,,I will wash the dishes.,
open containerspice,pour-out spice,"Based on the chef's current action of opening a container of spice, I would fetch the next required container or utensil.",,Fetch the spice container.,,I will wash the containers.,
remove carrot,take boxcarrot,"Based on the chef's current action of removing a carrot, the best assistance would be to:

Wash the carrot next.",,Fetch boxcarrot.,,I will wash the carrot.,
clean spoonwooden,stir pancontent,"Based on the current action of my chef, I will fetch a clean spoon to assist with stirring the pan content.",,Fetch the spoon for the chef.,,fetch pot,
take cupmeasuring,rinse cloth,"Based on the chef's current action and the potential next action, I would fetch the rinse cloth.",,Fetch rinse cloth.,,I'll wash the cloth.,
eat crumbleschocolate,fold paperfoil,I'll fetch a paperfoil for your next action.,,Fetch crumbleschocolate.,,I'll fold the paper foil.,
open milk,pour-in milk,"Based on the current action, I will fetch the milk pitcher next.",,Pour milk into the recipe.,,I will wash the milk.,
move boardcutting,put-down spatula,"Based on the chef's current action of move boardcutting, I would stabilize the board to ensure optimal cutting conditions.",,Fetch the put-down spatula.,,I'll wash the boardcutting board.,
cut coriander,chop cilantro,"Based on current observation, I will fetch coriander next.",,Fetch fresh coriander.,,I will wash the coriander.,
push-down aeropress,put-down kettle,"Based on the current action of my chef, I will fetch the kettle next.",,Fetch the kettle.,,I'll wash the Aeropress.,
sprinkle-on salt,wash handmy,I'd fetch a clean towel for my chef to dry their hands.,,Fetch additional ingredients for the dish.,,I'll wash my hands.,
rinse cutlery,pick-up spatula,"Based on the current action of rinsing cutlery, the best help I can provide next is to dry them.",,Fetch the spatula.,,I'm washing the cutlery.,
wash cloth,put cloth,"Based on the current action of washing a cloth, the next best action for me would be to fetch the next item for my chef to use.",,Fetch clean water for washing.,,I'll wash the cloth.,
hang-up toweltea,grab boxlunch,"Based on the chef's current action, I will fetch a fresh towel.",,Fetch the tea.,,fetch boxlunch,
turn-on dishwasher,pick-up spatula,"Based on the current action, I will fetch the spatula next.",,Fetch the spatula to assist the chef.,,fetch spatula,
squeeze lettuce,put-down lettuce,"Based on the chef's current action of squeezing lettuce, the best assistance would be to:

Wet and dry the lettuce. (This will make it easier for the chef to work with and prevent the lettuce from becoming mushy during the squeezing process.)",,Fetch fresh lettuce for chef.,,I will wash the lettuce.,
throw-into skingarlic,cover lidglass,"Based on the chef's current action, I would fetch the lid for the glass.",,Fetch the lid glass.,,I'll wash the skingarlic.,
put pastegarlic,put almond,"Based on the chef's current action of putting paste garlic, I would fetch the almonds next.",,Fetch garlic for chef.,,I'll wash the pastegarlic.,
pick-up chopstick,pick-up courgette,"Based on the chef's next action being ""pick-up courgette,"" I would fetch it for the chef.",,Fetch the courgette.,,I'll wash the courgette.,
wash grater,put-down grater,"Based on the current action of washing the grater, the best help I can provide next is to dry it.",,Fetch a clean grater for the chef.,,I will put the grater down.,
rest-onto blender,check recipe,"Based on the current action, I will fetch the recipe next.",,Fetch ingredients for the next step.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
put saucer,pick-up saucer,"Based on the current action, I would fetch a clean saucer.",,Fetch the saucer for the chef.,,fetch saucer.,
read instruction,turn kettle,"Based on current observation, I will fetch the kettle for my chef's next action.",,Fetch the kettle.,,I will wash the kettle.,
pour-into oil,close bottleoil,"Based on the current action of my chef, I will fetch the bottle of oil.",,Fetch the bottle of oil.,,"### action: close bottleoil

### next action: pour-into pan",
pick herb,pour herb,"Based on the chef's current action of picking a herb, the best assistance would be to:

Wash the herb (if necessary) before the chef pours it.",,Fetch fresh herbs for the chef.,,I'll wash the herbs.,
put-down cloth,stir meat,"Based on the current action of my chef, I will prepare by fetching the stirring spoon next.",,Fetch the meat to assist with stirring.,,I'll wash the put-down cloth.,
put-down meat,tear paper,"Based on the current action and the next action, I will fetch the tear paper.",,Fetch the cutting board and knife.,,I'll wash the meat.,
clean-with desk,throw-away paper,"Based on the current action being ""clean-with-desk,"" I would fetch throw-away paper.",,Fetch clean utensils for chef.,,fetch,
close boxmushroom,put-into mushroom,"Based on the chef's current action of closing the box of mushrooms, I would fetch the next ingredient to help maintain workflow.",,Fetch the boxmushroom.,,I will wash the mushroom.,
cut bitchilli,get spinach,"Based on the current action of cutting b Nichini, I would fetch the spinach.",,Fetch spinach.,,I'll wash the spinach.,
put liquid,tie bag,"If chef is putting a liquid, and next action is to tie a bag: I'll fetch the bag instead.",,Pour the correct ingredient.,,I'll wash the liquid.,
